Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL
2015-01-02,24.2375545501709,24.705324183736966,23.798604229403885,24.69423892192084,212818400
2015-01-05,23.554738998413086,24.0867993234754,23.368518814896508,24.006990190147395,257142000
2015-01-06,23.556955337524414,23.816334163580667,23.195596863475707,23.619028729260297,263188400
2015-01-07,23.887279510498047,23.98704009408535,23.654502560296518,23.765348404892794,160423600
2015-01-08,24.805082321166992,24.8627226324375,24.097885309857276,24.21538332281689,237458000
2015-01-09,24.831682205200195,25.106579377783078,24.43263655840806,24.97799781477527,214798000
2015-01-12,24.21981430053711,24.96913151622689,24.12005372825121,24.962481036924252,198603200
2015-01-13,24.43485450744629,25.00681938380781,24.144438980365567,24.70310120728101,268367600
2015-01-14,24.341745376586914,24.494711474568152,24.05354553692245,24.173259238412005,195826400
2015-01-15,23.68110466003418,24.39938521357673,23.645634871541997,24.38608425431382,240056000
2015-01-16,23.497100830078125,23.84959148289938,23.321964198866386,23.727660381621178,314053200
2015-01-20,24.10232162475586,24.157744549135312,23.610165785646576,23.907231848461198,199599600
2015-01-21,24.286317825317383,24.62107095617923,24.00255112888712,24.15330149924548,194303600
2015-01-22,24.91814422607422,24.933662575431267,24.324010478532255,24.443724184160846,215185600
2015-01-23,25.046728134155273,25.21742999298039,24.72527416557457,24.89597771577307,185859200
2015-01-26,25.07332992553711,25.35266192991213,25.006823433030068,25.215212472533512,222460000
2015-01-27,24.195432662963867,24.935883840684372,24.171046439988512,24.92258118818741,382274800
2015-01-28,25.563261032104492,26.18621565566704,25.563261032104492,26.07758554037671,585908400
2015-01-29,26.359140396118164,26.423431184589887,25.61868932490351,25.78717547085102,337745600
2015-01-30,25.973400115966797,26.603003725613746,25.9046745395417,26.248297347546913,334982000
2015-02-02,26.299280166625977,26.4189938621203,25.733967466726934,26.170700293426666,250956400
2015-02-03,26.30371856689453,26.401261757431495,26.073159013253253,26.270464476118452,207662800
2015-02-04,26.505456924438477,26.71606503689038,26.228342322296477,26.270464283061518,280598800
2015-02-05,26.694643020629883,26.7591875492115,26.541071497520225,26.712447061096544,168984800
2015-02-06,26.469844818115234,26.763632651229667,26.363012106960742,26.71244158799873,174826400
2015-02-09,26.64566993713379,26.672376838687786,26.35855885909115,26.385267458693313,155559200
2015-02-10,27.157575607299805,27.186510351861603,26.743603296210924,26.745827739601534,248034000
2015-02-11,27.79412078857422,27.80302365774681,27.264412808170146,27.32450505252429,294247200
2015-02-12,28.145780563354492,28.37279951507212,27.947696365158098,28.0567535567603,297898000
2015-02-13,28.283763885498047,28.328276526199947,27.96549358013913,28.328276526199947,217088800
2015-02-17,28.450693130493164,28.684388774580885,28.248156679210652,28.37501959221719,252609600
2015-02-18,28.64876937866211,28.66212282958764,28.366108881718322,28.4061709325431,179566800
2015-02-19,28.58867835998535,28.71776739221714,28.56197145541902,28.595355086126933,149449600
2015-02-20,28.82237434387207,28.82237434387207,28.499653457078956,28.62651465154113,195793600
2015-02-23,29.601356506347656,29.601356506347656,28.85798490989806,28.93810901824031,283896400
