Date,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY
2015-01-02,171.09368896484375,172.30134094551912,170.05261843555843,171.88491273380498,121465900
2015-01-05,168.0038299560547,170.2108948047329,167.69567708883093,170.04432603078448,169632600
2015-01-06,166.4214324951172,168.83671185048698,165.62188446854006,168.3120080609087,209151400
2015-01-07,168.49520874023438,168.83668298008934,167.30422995861,167.7539669096419,125346700
2015-01-08,171.48513793945312,171.70168874977625,169.89439177862124,169.9110397575839,147217800
2015-01-09,170.11093139648438,171.91822838374486,169.4946130430907,171.90156769625287,158567300
2015-01-12,168.77833557128906,170.40241563326305,168.1703539893546,170.24417089217803,144396100
2015-01-13,168.30355834960938,171.13526394125756,166.99596820260476,170.00257916292324,214553300
2015-01-14,167.2875518798828,167.48744200866474,165.380316146066,166.27978995463153,192991100
2015-01-15,165.75509643554688,168.2453291207079,165.63849703933582,167.9288523072099,176613900
2015-01-16,167.92889404296875,168.08713884323723,165.3636939804089,165.54692346404778,211879600
2015-01-20,168.28697204589844,168.83666035223123,166.71287386567698,168.57014018853744,130991100
2015-01-21,169.13648986816406,169.61954813553254,167.35417756847113,167.82057514844598,122942700
2015-01-22,171.6517333984375,171.78498078291253,168.5118607680485,169.89440563758,174356000
2015-01-23,170.7106170654297,171.65174908320316,170.57735696039603,171.3935528640568,117516800
2015-01-26,171.11038208007812,171.20199681235306,169.77781917507716,170.494076343304,92009700
2015-01-27,168.85330200195312,170.002635130252,168.0204456468829,169.04485540527304,134044600
2015-01-28,166.68788146972656,170.144230489547,166.49632805368034,170.04429178698032,168514300
2015-01-29,168.22862243652344,168.48680581601087,165.47185783742356,166.88772349382515,173585400
2015-01-30,166.1132049560547,168.37857536051064,165.84669751879048,167.0460127574295,197729700
2015-02-02,168.17034912109375,168.2619638259972,164.78895444473176,166.612911846114,163107000
2015-02-03,170.60232543945312,170.61066213796542,168.6950896122734,169.06987250225225,124212900
2015-02-04,169.95272827148438,171.0521051644244,169.4946545660927,169.83612884723777,134306700
2015-02-05,171.6683349609375,171.8182557019596,170.54398659097484,170.61894060729665,97953200
2015-02-06,171.19361877441406,172.60114798573244,170.6689152271849,172.034799080911,125672000
2015-02-09,170.4273681640625,171.26854835051066,170.01926405130686,170.54396752365312,87219000
2015-02-10,172.2430419921875,172.50122546074644,170.4690536705161,171.46849158651077,96164200
2015-02-11,172.3429718017578,172.7760606957682,171.42683737057396,172.07646435739935,91087800
2015-02-12,174.00039672851562,174.0587027896621,172.37632892463236,173.14255546009565,97545900
2015-02-13,174.71656799316406,174.76653733050065,173.8670511333121,174.1252472235123,93670400
2015-02-17,174.991455078125,175.16636051017983,174.1502747066114,174.40012145471852,76968200
2015-02-18,175.0081329345703,175.08308696635635,174.35016921098767,174.61668937962395,80652900
2015-02-19,174.88319396972656,175.24965284139665,174.26688832953678,174.40847240115826,91462500
2015-02-20,175.93260192871094,176.0075559595641,173.8421240956796,174.4667664362177,140896400
2015-02-23,175.90756225585938,175.90756225585938,175.29956808445183,175.68268752522403,74411100
2015-02-24,176.40731811523438,176.60720823312312,175.53281632349453,175.8326451461373,72472300
2015-02-25,176.2574005126953,176.76544341498254,175.9159263454377,176.28238518753076,73061700
2015-02-26,176.04920959472656,176.3240537624812,175.44121520467164,176.1658089954363,72697900
2015-02-27,175.44956970214844,176.21579622859966,175.39960034082944,175.94927602372124,108076000
2015-03-02,176.5572967529297,176.6155901136835,175.49956518351564,175.54953455227172,87491400
2015-03-03,175.83270263671875,176.6072659769572,174.96653725942576,176.12420756540322,110325800
2015-03-04,175.09136962890625,175.3079203919057,174.116929320543,175.23295366943307,114497200
2015-03-05,175.28289794921875,175.56606596925315,174.7748552269804,175.41614526499205,76873000
2015-03-06,172.8177032470703,174.84987489931643,172.48456576994607,174.41678601235083,188128000
2015-03-09,173.53395080566406,173.89207293864177,172.85933919079574,173.01758393174103,89818900
2015-03-10,170.71893310546875,172.24306212630245,170.67728773603739,172.15978409582223,157121300
2015-03-11,170.31915283203125,171.15200932509742,170.235862099372,170.97710386986563,110145700
2015-03-12,172.48458862304688,172.551205960594,170.902153626094,170.95212298344524,93993500
2015-03-13,171.42684936523438,173.17584033353253,170.38577877396835,172.20973648320742,162410900
2015-03-16,173.71714782714844,173.8087625175395,171.4517779450941,172.15971079887748,136099200
2015-03-17,173.20083618164062,173.58394303913155,172.38462769530042,172.97596137757702,94510400
2015-03-18,175.28289794921875,175.95750934745524,172.08472091152757,172.7260236579146,228808500
2015-03-19,174.48341369628906,175.29128541121912,174.0919701763382,174.86653322735714,117917300
2015-03-20,176.02354431152344,176.5338549792553,175.25389773750445,175.43794504489014,177715100
2015-03-23,175.68051147460938,176.60910897443645,175.68051147460938,176.0318709657461,71784500
2015-03-24,174.69338989257812,176.01516558749654,174.6264624403496,175.55506009672297,77805300
2015-03-25,172.1334991455078,175.13681016128885,172.0916806484822,174.90257041146594,159521700
2015-03-26,171.72354125976562,172.64376496161267,170.76147354156856,171.46420537319867,153067200
2015-03-27,172.1167755126953,172.29244894114026,171.41404350358889,171.60646475488804,118939000
2015-03-30,174.21652221679688,174.5176893444385,173.13734745572566,173.1540697435742,96180400
2015-03-31,172.69398498535156,174.09107496281166,172.6354314363264,173.38834301875565,126768700
2015-04-01,172.08326721191406,172.68560150599933,171.0877421212702,172.66050530750462,137303600
2015-04-02,172.702392578125,173.1541370626647,171.83234819774538,172.0163955564753,86900900
2015-04-06,173.86524963378906,174.38392164876194,171.6734289097561,171.80727110499606,114368200
2015-04-07,173.4050750732422,174.64320114306742,173.37161772653664,173.89028957367137,81236300
2015-04-08,173.9906768798828,174.43406012947273,173.2377652996642,173.63095614592058,89351900
2015-04-09,174.76034545898438,174.99458521402363,173.329810723931,173.82338643882733,85548900
2015-04-10,175.71400451660156,175.7558357713305,174.81051579301152,175.01128539153964,72722900
2015-04-13,174.9192657470703,176.2075969376579,174.86907334628765,175.57179248745888,74436600
2015-04-14,175.25392150878906,175.43796884113877,174.09108396263863,174.71851456880128,75099900
2015-04-15,176.04026794433594,176.55057861596129,175.63871598202462,175.72237849151338,99529300
2015-04-16,175.99009704589844,176.5004077798699,175.50488251481832,175.70566490305748,68934900
2015-04-17,173.96559143066406,175.03640531832346,173.17920968954672,174.79380443218076,191113200
2015-04-20,175.55508422851562,175.88970877054956,174.8105337721483,174.89418352510276,92189500
2015-04-21,175.34596252441406,176.4000414516232,175.04479529305294,176.24109030658406,72559800
2015-04-22,176.20762634277344,176.3916736864279,174.76034379811696,175.6889416628794,78264600
2015-04-23,176.65101623535156,177.3035431089806,175.68894821851214,175.8060680992889,102585900
2015-04-24,177.0608673095703,177.32857709461902,176.60912300368204,177.0692412185438,61327400
2015-04-27,176.3247528076172,177.75528758252767,176.13233154517363,177.62980655494243,79358100
2015-04-28,176.88522338867188,176.93541579045058,175.12005159051273,176.29962409274148,86863500
2015-04-29,176.1574249267578,176.75974657097427,175.3459469798925,175.9900998846387,125684900
2015-04-30,174.39219665527344,175.97332077799462,173.6894648945384,175.5801300331551,161304900
2015-05-01,176.2828826904297,176.32471394544166,175.07821403068309,175.17859883062636,103399700
2015-05-04,176.78485107421875,177.37045041151927,176.60080374462314,176.7095497011237,70927200
2015-05-05,174.76034545898438,176.90198613594362,174.61812937664692,176.54225259170593,113326200
2015-05-06,174.0408935546875,175.62201830573386,172.9700795838788,175.31248993193884,135060200
2015-05-07,174.73524475097656,175.1619057521025,173.60587726795188,173.94050183363868,88244900
2015-05-08,177.03575134277344,177.23653365913802,176.33303238315293,176.41669487291412,155877300
2015-05-11,176.19090270996094,177.26171672514724,176.1156140913408,176.99401960390566,75708100
2015-05-12,175.66383361816406,176.20761446598536,174.52609228185415,175.35430527247587,119727600
2015-05-13,175.69729614257812,176.70118251004993,175.46305641567162,176.07375193474158,94667900
2015-05-14,177.52940368652344,177.6214273524347,176.44185475260153,176.71792575033535,95934000
2015-05-15,177.72177124023438,177.86398727932942,177.23655681944257,177.72177124023438,76510100
2015-05-18,178.27395629882812,178.5249183314989,177.48757455617042,177.55450201991877,74549700
2015-05-19,178.2153778076172,178.66713496578296,177.93094567994694,178.39106398359448,72114600
2015-05-20,178.0899200439453,178.84283171901396,177.77201776264067,178.31578588740035,76857500
2015-05-21,178.60858154296875,178.81772508107528,177.78036853662786,177.9476935791999,64764600
2015-05-22,178.18191528320312,178.64202080837387,178.11498782597113,178.2237337745043,57433500
2015-05-26,176.26611328125,178.11494716554535,175.84782634286776,177.6882863187287,124308600
2015-05-27,177.93936157226562,178.1736013688991,176.31640529193965,176.72633131860403,93214000
2015-05-28,177.73855590820312,177.8473018713344,177.04419780695585,177.6297971799629,74974600
