Date,Close_QQQ,High_QQQ,Low_QQQ,Open_QQQ,Volume_QQQ
2015-01-02,94.90655517578125,96.0682195953277,94.44557522180368,95.66256201894464,31314600
2015-01-05,93.5143814086914,94.60229423791921,93.24701222657666,94.49165653132157,36521300
2015-01-06,92.260498046875,93.8093904756459,91.84561903527303,93.65265902984014,66205500
2015-01-07,93.44984436035156,93.67111273920938,92.64773681524893,92.8690122281017,37577400
2015-01-08,95.23844909667969,95.42283824103538,94.14131469597683,94.24273083557095,40212600
2015-01-09,94.61152648925781,95.56114405097236,94.05834492779682,95.53348637969846,41410100
2015-01-12,93.62503051757812,94.89733264542326,93.38531897442036,94.79591649385635,34129800
2015-01-13,93.59736633300781,95.5334877580643,92.84135949329857,94.53776937386311,56162300
2015-01-14,93.08108520507812,93.56050836703203,92.26054132857689,92.65698442888623,51354200
2015-01-15,91.87329864501953,93.6618959355821,91.76266093296601,93.51438602017268,51005400
2015-01-16,92.95198822021484,93.07184046386634,91.6059277350709,91.75343764771927,35362200
2015-01-20,93.6895751953125,93.92927972434424,92.46336674035659,93.51440054917697,30964100
2015-01-21,94.16899108886719,94.6115349709096,93.08107803925911,93.41298419229184,40128800
2015-01-22,95.91148376464844,96.01289991265992,93.70800024693638,94.53776553339597,40887200
2015-01-23,96.1235122680664,96.41853906608068,95.62565322754351,95.90223689406042,34783000
2015-01-26,96.01290130615234,96.18807593416832,95.52426369536636,96.01290130615234,19960900
2015-01-27,93.5235824584961,94.55617269089382,93.2101125422372,94.50085736672777,45253200
2015-01-28,93.04417419433594,95.12780515210686,93.02573809470722,95.02638901916262,43591700
2015-01-29,93.9384994506836,94.11367409338247,92.15911645241465,92.97043868228998,46539700
2015-01-30,93.21015167236328,94.57465552456362,93.08107783912767,93.85552787253769,42927600
2015-02-02,94.0214614868164,94.10443449072308,91.9654880818582,93.4221862228424,43624700
2015-02-03,94.92500305175781,94.98953997195883,93.74489534865542,94.36260687543609,30750400
2015-02-04,94.84202575683594,95.46895882513782,94.32572338447198,94.53777727501375,34073200
2015-02-05,95.66259002685547,95.72712695794749,94.84204603125775,95.0817506130293,23605500
2015-02-06,95.08171844482422,96.04055754950822,94.740597796174,95.81006758301675,34169300
2015-02-09,94.77748107910156,95.22923946318288,94.54699110277495,94.71294416708994,22604700
2015-02-10,96.25262451171875,96.38169834779873,95.1554898710424,95.30300684598897,23686500
2015-02-11,96.60296630859375,96.82423473594598,96.17886555867014,96.36325474246424,20303600
2015-02-12,97.72771453857422,97.76459376549816,97.08234565238851,97.22985552609096,22520300
2015-02-13,98.5667724609375,98.58520857074569,97.81997988473525,98.00437615280919,29030200
2015-02-17,98.658935546875,98.72347246157548,98.3178078354604,98.56674095930235,17675300
2015-02-18,98.79722595214844,98.85254129509723,98.40999744951947,98.53907127239718,15149600
2015-02-19,99.28585815429688,99.35039506221406,98.70501894904689,98.73267661901204,19828100
2015-02-20,99.94966888427734,100.00498422338572,98.90784977110079,99.22131977203733,28336700
2015-02-23,100.05110931396484,100.07877402617432,99.67310932173883,99.89437778143206,17868000
2015-02-24,100.12483215332031,100.24469142821539,99.61775848736312,99.92199987333943,19745000
2015-02-25,99.87591552734375,100.3645531384942,99.65464009158094,99.97733167690279,19472300
2015-02-26,100.38301849365234,100.43834088571232,99.70076995289287,99.9773608111996,22255500
2015-02-27,99.94044494628906,100.41064641954516,99.78371346653542,100.34610248012233,27757600
2015-03-02,100.8439712524414,100.88085049249264,100.11562208792036,100.13406522494388,22988600
2015-03-03,100.373779296875,100.64114851848501,99.73762469945821,100.53973236428824,20788900
2015-03-04,99.9865493774414,100.18938168298244,99.44259640712308,100.04187175513181,21007400
