Date,Close_GOOGL,High_GOOGL,Low_GOOGL,Open_GOOGL,Volume_GOOGL
2015-01-02,26.29613494873047,26.606494381733423,26.213205104874046,26.447588609294954,26480000
2015-01-05,25.795089721679688,26.218668600242324,25.710176561608098,26.17695647369129,41182000
2015-01-06,25.158479690551758,25.881988025936735,25.10435243288428,25.846731620823444,54456000
2015-01-07,25.084491729736328,25.3993197931758,25.0100065987638,25.372506206824585,46918000
2015-01-08,25.171886444091797,25.201183432063985,24.581457232850923,24.90373546624575,73054000
2015-01-09,24.864505767822266,25.25580791623763,24.76171626073284,25.23495185459241,42000000
2015-01-12,24.682762145996094,24.842658628436677,24.37736763109752,24.79101477343398,57138000
2015-01-13,24.918134689331055,25.25580585493702,24.692690342192286,24.95637079922658,60958000
2015-01-14,25.123220443725586,25.238923277548384,24.73738331688871,24.84960824627636,52800000
2015-01-15,25.027881622314453,25.312914481623768,24.92856622535341,25.27020975124383,51068000
2015-01-16,25.34817123413086,25.367536494599175,24.98219376296395,24.98517347094758,49658000
2015-01-20,25.322349548339844,25.603908287449528,25.294045162593612,25.462880766741375,46796000
2015-01-21,25.841270446777344,25.91377036055719,25.304968469150943,25.367040352064173,46356000
2015-01-22,26.68097686767578,26.75744909100306,25.916749042386346,25.970874403722245,56068000
2015-01-23,26.91188621520996,27.08370152568472,26.604010197082996,26.717229633167822,45966000
2015-01-26,26.652177810668945,26.889541014275842,26.42127032549222,26.889541014275842,30932000
2015-01-27,25.88099479675293,26.456525477229338,25.864607350305793,26.387997877799027,39148000
2015-01-28,25.44599723815918,26.104455910632613,25.44202492538807,26.070192108341782,35822000
2015-01-29,25.4857234954834,25.58305178585184,25.00156166084813,25.469336048228097,79018000
2015-01-30,26.693395614624023,26.968994952693457,25.731529488501746,25.772249011294658,121108000
2015-02-02,26.42772674560547,26.641254184633254,25.90731588754948,26.532999663904736,75378000
2015-02-03,26.482351303100586,26.688428532363886,26.16007302892743,26.315500900663388,47062000
2015-02-04,26.124814987182617,26.653666759879638,26.071680332765435,26.47440312757606,33896000
2015-02-05,26.31003761291504,26.352742341254977,26.10197140212147,26.215687137881527,33176000
2015-02-06,26.511150360107422,26.825978397110262,26.251442186766266,26.368633934834655,42938000
2015-02-09,26.282726287841797,26.511150367897514,26.196818633100726,26.37111545407569,30314000
2015-02-10,26.822998046875,26.864710170346463,26.27726253717318,26.425242072752976,47430000
2015-02-11,26.715734481811523,26.911881833102544,26.61641910347283,26.801642123060414,38306000
2015-02-12,27.113494873046875,27.229195812790145,26.6660802729414,26.798168658938195,48590000
2015-02-13,27.369232177734375,27.43775978001016,27.142793308847736,27.187981443309504,47382000
2015-02-17,27.0638370513916,27.46060041794545,26.97693679481539,27.369231546540608,39174000
2015-02-18,26.94664764404297,27.18997027784278,26.792710574552597,27.004747218988076,31164000
2015-02-19,27.135343551635742,27.155703310324675,26.852295927629633,26.937707274812855,30834000
2015-02-20,26.904436111450195,27.191456048219077,26.720703875050642,27.191456048219077,38234000
2015-02-23,26.566768646240234,26.78029609718262,26.41779649063208,26.765399449906926,32906000
2015-02-24,26.748018264770508,26.785259881383805,26.368136726762,26.39544850846752,28406000
2015-02-25,27.17904281616211,27.290275141426427,26.716233373446624,26.73758763098587,40836000
2015-02-26,27.772947311401367,27.81465943512534,27.06780973212664,27.10008832378225,54032000
2015-02-27,27.93880271911621,28.27597760767765,27.66072000480966,27.71633616881427,68328000
2015-03-02,28.554059982299805,28.60222782614532,27.964625220219023,28.155807688677125,50406000
2015-03-03,28.741270065307617,28.84356327471937,28.329608138992487,28.620104108254722,50526000
2015-03-04,28.718425750732422,28.882294536730804,28.429915002234967,28.650890754045285,37964000
2015-03-05,28.87236785888672,28.96026073036269,28.71346397266862,28.782487883762425,35918000
