Date,Close_EEM,High_EEM,Low_EEM,Open_EEM,Volume_EEM
2015-01-02,30.789447784423828,31.138875552861258,30.71003031696081,31.122992059368656,65010000
2015-01-05,30.241479873657227,30.59090763033357,30.19382939478324,30.59090763033357,83166600
2015-01-06,30.114410400390625,30.384423708028713,29.95558153781111,30.24941856894285,52066100
2015-01-07,30.765628814697266,30.789452543885556,30.527379404946014,30.630620613873752,64948700
2015-01-08,31.289772033691406,31.43272046762093,31.178587562160715,31.218297816726647,55081600
2015-01-09,31.18653106689453,31.40095371945291,31.091233120024288,31.385070223396685,38550100
2015-01-12,30.93239974975586,31.1309388970207,30.892692526196285,31.091231673461127,55381800
2015-01-13,31.202415466308594,31.488312344663587,30.948285580985754,31.329480408970014,55565600
2015-01-14,31.027692794799805,31.09916699771238,30.78150320044171,30.86092066449262,83761000
2015-01-15,31.099172592163086,31.551841615551503,31.051522105160657,31.440660175346213,57441600
2015-01-16,31.361242294311523,31.400949514401148,31.027694980731926,31.0753454625195,72675200
2015-01-20,31.3135929107666,31.337416637762587,31.146820762861054,31.297709416280338,57716900
2015-01-21,32.004512786865234,32.036279780332166,31.559786996197097,31.575667463463326,74714900
2015-01-22,32.61600875854492,32.64777574712257,32.02039135531442,32.17128000685811,95318400
2015-01-23,32.36982727050781,32.528659223817776,32.353946801697596,32.41747776534106,52368100
2015-01-26,32.385704040527344,32.48894524315018,32.218931887459846,32.26658237239352,47266100
2015-01-27,32.21099090576172,32.29040534933779,31.996568272746128,32.004508505317,42525200
2015-01-28,31.861560821533203,32.16334116715477,31.77420311389536,32.13157417720157,56698000
2015-01-29,31.861560821533203,31.885387578731553,31.54390001040194,31.821853598825157,53124400
2015-01-30,30.987991333007812,31.408893367520438,30.987991333007812,31.21035421471757,103745400
2015-02-02,31.54389190673828,31.663013544259922,31.321526063658855,31.39300025795829,50443600
2015-02-03,32.13951873779297,32.1792259621051,31.85362187559836,31.893329099910495,48552700
2015-02-04,31.980684280395508,32.27452135241394,31.93303379731139,32.09980594390562,34900700
2015-02-05,32.1712760925293,32.19510284579689,31.877439057604555,31.885382318515884,32092400
2015-02-06,31.62331771850586,31.861564108801744,31.535960001855017,31.694791938541346,64292000
2015-02-09,31.575660705566406,31.678901897504403,31.51212976169682,31.520069993630546,35632500
2015-02-10,31.496252059936523,31.543902548700697,31.36918711936588,31.47242833028801,46949400
2015-02-11,31.265939712524414,31.361240671167124,31.051517099778135,31.24211598759701,44240300
2015-02-12,31.93303680419922,31.98068729177022,31.58360898374645,31.607432712798413,55855400
2015-02-13,32.298343658447266,32.314227152109936,32.10774779342851,32.10774779342851,44640000
2015-02-17,32.22687530517578,32.24275577076339,31.956861948182645,32.20304854786053,30152800
2015-02-18,32.21893310546875,32.27452382525947,31.9806867307275,32.06804444167493,36036700
2015-02-19,32.083927154541016,32.25069930984465,31.925095232099338,31.956862222481064,38785800
2015-02-20,32.298343658447266,32.345994139435284,31.89332517318241,31.964799379931108,32542700
2015-02-23,31.972749710083008,32.131581667407474,31.90127548076038,32.09981467004906,34091700
2015-02-24,32.433353424072266,32.52865136123653,31.97274117375586,32.14745658311268,64630500
2015-02-25,32.36982727050781,32.45718499630167,32.29835304299171,32.338063303419844,28592500
2015-02-26,32.37776565551758,32.457180105472176,32.32217493465594,32.40953264728625,25889800
2015-02-27,32.35393524169922,32.560414586600224,32.31422499545947,32.31422499545947,43207600
2015-03-02,32.30629348754883,32.33011721815263,32.18716877559529,32.274526493765585,36669900
2015-03-03,32.06009292602539,32.155393874962485,32.04420943453587,32.115683631505576,40406100
2015-03-04,31.710668563842773,31.821849986591385,31.57566038660049,31.805966493417788,51564400
2015-03-05,31.663026809692383,31.821858755731053,31.559788619814537,31.766268029037626,33714000
2015-03-06,31.17858123779297,31.464478047659743,31.107107035326276,31.400947106281833,72516900
2015-03-09,31.059467315673828,31.186532259515683,31.05946731567383,31.162708529253845,34915600
2015-03-10,30.36855125427246,30.614737873875956,30.352667757932373,30.5909141440994,84229600
2015-03-11,30.59885597229004,30.654446697644058,30.463850790563804,30.551208510253637,47978700
2015-03-12,30.789447784423828,31.035637389359263,30.74179730394602,31.003870402374055,46829700
2015-03-13,30.41619873046875,30.551206934699813,30.233543066658513,30.551206934699813,69885200
2015-03-16,30.78150749206543,30.813274482114814,30.654442561334793,30.71797654143357,50569900
2015-03-17,31.138877868652344,31.154761363326198,30.7815068121577,30.81327380150541,53697700
2015-03-18,31.901273727416992,32.00451494842374,31.00387882237106,31.067409784128518,101688200
2015-03-19,31.361242294311523,31.615372138245167,31.26594133073638,31.607428876547218,64499900
2015-03-20,31.829795837402344,31.901267018298174,31.639196933279717,31.663020660244992,67345300
2015-03-23,31.925090789794922,31.980681500494146,31.766258889454345,31.893323803833503,35502700
2015-03-24,32.05216598510742,32.06804948318287,31.925101029971383,31.964808260426242,45280300
2015-03-25,31.54389190673828,32.075975219160426,31.52006515566105,32.04420823736821,49779900
2015-03-26,31.25006103515625,31.424776456792237,31.122996100184718,31.393009465682603,76980100
2015-03-27,31.337419509887695,31.36918650177172,31.194471075876685,31.258005059644727,42212000
2015-03-30,31.940990447998047,32.00452142260717,31.68686049062546,31.702740962176698,51535700
2015-03-31,31.869508743286133,31.917156205715397,31.647142810569296,31.74244379436252,47508800
2015-04-01,32.266578674316406,32.30628589247683,32.05215606089025,32.123630265365634,56392700
