Date,Close_XLU,High_XLU,Low_XLU,Open_XLU,Volume_XLU
2015-01-02,33.502532958984375,33.664960603743744,33.128243286015916,33.664960603743744,16914700
2015-01-05,33.09293746948242,33.61553035711175,32.944634300882655,33.61553035711175,23911800
2015-01-06,33.1141357421875,33.700290437379856,33.092950336713685,33.107074838353974,19393700
2015-01-07,33.43898391723633,33.58022620891291,33.05056963560522,33.318929720393456,14322300
2015-01-08,33.67203140258789,33.799149185506536,33.5519745213992,33.63672150599325,14027700
2015-01-09,33.46017074584961,33.76384071857216,33.28361856142825,33.67909373038968,8922700
2015-01-12,33.38249206542969,33.608478677868035,33.16356635601688,33.49548537164886,10875000
2015-01-13,33.474300384521484,33.99689342203861,33.30480907610031,33.5590446917456,15979500
2015-01-14,33.763851165771484,33.81328557718764,33.25537985523572,33.47430560148826,15463000
2015-01-15,34.032203674316406,34.1240115795676,33.721472748661625,33.820341557098466,14540200
2015-01-16,34.335872650146484,34.3499971500602,33.92627292854044,34.02514173396353,12988700
2015-01-20,34.420616149902344,34.540670346003,34.08869717061033,34.43473795440732,11238800
2015-01-21,34.75252914428711,34.80196353729114,34.09575484412226,34.385300300562605,13822200
2015-01-22,34.60424041748047,34.94322040849733,34.35706834923072,34.84435158119744,17531100
2015-01-23,34.703086853027344,34.872578086160324,34.59009359559594,34.71721134695274,7095300
2015-01-26,34.68191146850586,34.71016046450946,34.36411699839672,34.67484787251869,8129100
2015-01-27,34.73133850097656,34.91495154812624,34.5265373643301,34.59715983936611,8746000
2015-01-28,34.43474578857422,35.155079210977355,34.342940568542375,34.75254034168931,13695300
2015-01-29,34.89377975463867,34.95733865996116,34.23700529763065,34.349998607762515,12044800
2015-01-30,34.1240119934082,34.85140625913473,34.08163849186154,34.85140625913473,14915900
2015-02-02,34.27231979370117,34.399437621377274,33.763851176970135,34.116955655187446,22399300
2015-02-03,34.3994255065918,34.51948238777022,34.05338474843251,34.20874883223013,16159500
2015-02-04,33.9827766418457,34.462998981831326,33.898032315369875,34.30057123359701,13859000
2015-02-05,34.293487548828125,34.36410732498529,33.883885303995584,34.08162283241307,13165300
2015-02-06,32.88108444213867,34.145196213779215,32.67628323272071,34.07457640762202,32184200
2015-02-09,32.59153747558594,33.0435106804055,32.43617067618941,32.81046048131071,19742200
2015-02-10,33.262420654296875,33.31185503583289,32.52090223728486,32.563275718875055,20891100
2015-02-11,32.54209518432617,33.12824695033809,32.4644118034635,33.12824695033809,19543100
2015-02-12,32.393795013427734,32.633906099190376,32.28080171977311,32.605657102283566,20582000
2015-02-13,31.89945411682129,32.37261547174203,31.645221180565116,32.32318106519446,32654300
2015-02-17,31.871204376220703,32.2031206852963,31.588719774395738,31.800581878778054,26373700
2015-02-18,32.62684631347656,32.66921711631414,31.79351973401665,31.850015035790985,32104000
2015-02-19,32.259613037109375,32.64802727615806,32.14661975495026,32.55621939253742,14286400
2015-02-20,32.26668930053711,32.372621731607744,31.85002586908552,32.372621731607744,13870100
2015-02-23,32.4856071472168,32.50679255067624,32.231371529811604,32.32317943475747,8988500
2015-02-24,32.72571563720703,32.90226783579059,32.38673573920333,32.52797803686473,14332500
2015-02-25,32.188995361328125,32.7257128133617,32.15368276948027,32.697463817472425,11891900
2015-02-26,31.977134704589844,32.344363616529655,31.906514899743787,32.344363616529655,14258900
2015-02-27,31.94182586669922,32.054819174602386,31.793522655196245,31.970074867168254,12484400
2015-03-02,31.327411651611328,31.92062694028282,31.10848603168277,31.92062694028282,27530000
2015-03-03,31.518098831176758,31.553408731634804,31.115560039215016,31.306236734455744,18556800
2015-03-04,31.341529846191406,31.447459490822204,31.235597507589333,31.447459490822204,12062000
