Date,Close_XLK,High_XLK,Low_XLK,Open_XLK,Volume_XLK
2015-01-02,36.26845169067383,36.65512648494938,36.0839025856144,36.567246916556506,8495200
2015-01-05,35.71479797363281,36.13662590020442,35.6093418300875,36.13662590020442,7194700
2015-01-06,35.2841911315918,35.820261933822074,35.11721523611827,35.820261933822074,8745600
2015-01-07,35.58298110961914,35.67086067662676,35.3281256719502,35.55661455760438,6534600
2015-01-08,36.3651123046875,36.44420523779087,35.820248386691055,35.872978126223245,14211700
2015-01-09,36.25086212158203,36.55844385317301,35.987220158448416,36.47056431625828,9169900
2015-01-12,35.82904815673828,36.32118246986563,35.70601541655413,36.233299546597856,5628700
2015-01-13,35.80268096923828,36.576030493535974,35.54782554872659,36.12783936814505,11679200
2015-01-14,35.600555419921875,35.75874132724162,35.27539698927159,35.51267585025121,8830700
2015-01-15,35.14356994628906,35.83782644054015,35.11720339924361,35.74994689009519,9327700
2015-01-16,35.48630905151367,35.52145886438333,35.011751377674614,35.02932796030461,18821500
2015-01-20,35.78511047363281,35.86420343302506,35.33691591961308,35.69722754520201,12015800
2015-01-21,35.84662628173828,35.996022229127014,35.45116149101681,35.62692399271423,13919100
2015-01-22,36.4354248046875,36.461791357547085,35.644498619104674,35.943293849851266,8812200
2015-01-23,36.42662811279297,36.59360059022794,36.30359540811565,36.42662811279297,6478800
2015-01-26,36.2772331237793,36.479358784118574,36.16299037166808,36.382692613652964,9733500
2015-01-27,35.231449127197266,35.67964019358949,35.073263256143555,35.67964019358949,10792000
2015-01-28,35.16993713378906,35.97843981731991,35.16993713378906,35.86419705924947,13047200
2015-01-29,35.50389099121094,35.5741939799484,34.853570745337464,35.187519160915244,16817600
2015-01-30,35.06448745727539,35.58298500512111,34.99418111405992,35.4072224994734,13006300
2015-02-02,35.42478942871094,35.46872920504743,34.6162834640813,35.18751061362583,15623600
2015-02-03,35.82904815673828,35.8642013260454,35.43358338301012,35.53025292240931,9883700
2015-02-04,35.899349212646484,36.16299461588282,35.76752986341888,35.76752986341888,5889400
2015-02-05,36.23330307006836,36.25087965643113,35.93450780668334,36.04875394184584,5091800
2015-02-06,36.119056701660156,36.453005135614184,36.013600536555586,36.28603259483269,4790300
2015-02-09,36.06632614135742,36.24208863121559,35.98723318854078,36.022386356990545,7165700
2015-02-10,36.60240173339844,36.64634151957387,36.180570399420056,36.31239311033715,11245700
2015-02-11,36.74300765991211,36.80452402534234,36.5496685957654,36.65512474330429,6250000
2015-02-12,37.24393844604492,37.27030165183611,36.97150636076764,37.024236124741385,6769200
2015-02-13,37.4812126159668,37.50757581842444,37.261510322443876,37.33181331312791,4315800
2015-02-17,37.498775482177734,37.56029519155567,37.40210931576104,37.51635206308714,5340300
2015-02-18,37.5339241027832,37.56907726034885,37.39331482491023,37.49877094521755,3749800
2015-02-19,37.66575241088867,37.70090557372129,37.437260204866774,37.50756653053202,3125400
2015-02-20,37.85909652709961,37.91182292602362,37.47241838890718,37.6657574580034,6933500
2015-02-23,37.885467529296875,37.911830734188534,37.69212842038133,37.903044116688406,4047000
2015-02-24,37.99970626831055,38.05243266782208,37.66575787771152,37.859096948962105,4655500
2015-02-25,37.76241683959961,37.93817592527845,37.68332391008826,37.894236153858735,5867400
2015-02-26,37.99970626831055,38.05243266782208,37.7712140291252,37.87667018053887,7559400
2015-02-27,37.867889404296875,38.07001512250533,37.8327362309412,37.99092215865062,6056000
2015-03-02,38.16667175292969,38.19303494782646,37.876663199505174,37.99969926460012,6844500
2015-03-03,37.91182327270508,38.131525543272346,37.74485075393457,38.131525543272346,8612100
2015-03-04,37.76241683959961,37.83271980339321,37.56029120915721,37.815143224347395,5882700
2015-03-05,37.71848678588867,37.85030949821629,37.58666742595189,37.85030949821629,7704300
2015-03-06,37.25271224975586,37.753633101831184,37.19119588914241,37.7009067083855,8076700
2015-03-09,37.428489685058594,37.58667563343713,37.270303736680056,37.323033503603426,6249300
2015-03-10,36.66392135620117,37.226358714866514,36.66392135620117,37.217568745417374,8797900
2015-03-11,36.42662811279297,36.7517864540673,36.400261567226565,36.7517864540673,11520200
2015-03-12,36.66392135620117,36.69028455976639,36.286033127274564,36.32118630028892,12334900
2015-03-13,36.4617919921875,36.69906750531879,36.259662943772206,36.61118793396577,15187700
2015-03-16,36.892391204833984,36.918754394771,36.540869713579454,36.65511243823276,8639400
2015-03-17,36.901187896728516,37.006644028090314,36.74300202349083,36.80451837948438,9533700
2015-03-18,37.40211486816406,37.533934215968365,36.70785490493362,36.857250836256604,15855400
2015-03-19,37.29665756225586,37.481210023869096,37.27029436162142,37.34938731591546,8992400
2015-03-20,37.53755187988281,37.72285633118674,37.45813520559374,37.51990335602838,19296100
2015-03-23,37.53755187988281,37.72285633118674,37.528725934899725,37.54637445875416,3753100
2015-03-24,37.414031982421875,37.669927275223785,37.414031982421875,37.56403945178461,7117400
2015-03-25,36.45218276977539,37.44047626795506,36.45218276977539,37.36988219217254,8174300
2015-03-26,36.47867202758789,36.66397651961248,36.12570820515893,36.2492478992878,9002400
2015-03-27,36.50514221191406,36.60220742893021,36.31101514399417,36.487493684628184,7909300
2015-03-30,36.94633102416992,36.97280548792843,36.70808104700984,36.77867512888442,6605400
2015-03-31,36.56691360473633,36.90222892056555,36.56691360473633,36.83163817129832,7963600
2015-04-01,36.513954162597656,36.637490440134236,36.25805566420839,36.60219339909204,10427800
2015-04-02,36.50514221191406,36.65515301078785,36.43455146888294,36.57573632105758,5469300
2015-04-06,36.858089447021484,36.928680158301646,36.213933638327205,36.24923067702272,7344700
2015-04-07,36.778682708740234,37.07870088631689,36.76985676363139,36.85809938416087,4684300
