Date,Close_IWM,High_IWM,Low_IWM,Open_IWM,Volume_IWM
2015-01-02,103.31513214111328,104.73111953869508,102.41167774155998,104.3054557539956,46133100
2015-01-05,101.93386840820312,103.1239969581209,101.45608450878272,102.70702215963381,51141900
2015-01-06,100.1703872680664,102.30740111064758,99.34512003865254,102.17710064219902,67446000
2015-01-07,101.40396881103516,101.43002890863394,100.31808722645054,100.82193124464943,32252100
2015-01-08,103.12400817871094,103.24562639381045,102.02943761511955,102.21187156546448,28361700
2015-01-09,102.1336898803711,103.23694278186589,101.9078246288705,103.21088268124967,26975200
2015-01-12,101.79487609863281,102.51590300880359,100.96960880567718,102.24659988865496,27316800
2015-01-13,101.87306213378906,103.71471965667367,100.61344216763796,102.58540017635568,49991400
2015-01-14,101.46481323242188,101.72542092681708,100.3789312698647,100.75247493009226,34224200
2015-01-15,99.7534408569336,101.96863560999485,99.44939529800708,101.83833510452357,46199400
2015-01-16,101.37792205810547,101.58641613536149,99.20615846107924,99.38859243560239,41895700
2015-01-20,100.95225524902344,101.70803134430125,100.0401185419947,101.50822618312563,36444400
2015-01-21,100.63082122802734,101.48215535900222,100.15303727797753,100.59607884755097,27333500
2015-01-22,102.68096160888672,102.71571061546565,99.98797656212552,101.25628547762737,37877000
2015-01-23,102.61148071289062,103.17613390135774,102.11631891698978,102.71572111558805,28173400
2015-01-26,103.60181427001953,103.61049655261544,101.69934720544337,102.40299650211821,23006800
2015-01-27,103.1065902709961,103.59306291097424,102.17707626092776,102.38556358839088,26919100
2015-01-28,101.36921691894531,103.76683861750544,101.04779359308915,103.53229111809881,38086100
2015-01-29,102.76786041259766,102.78523160592273,100.84801547918511,101.65591183658556,39299900
2015-01-30,100.50919342041016,102.47246911472624,100.422324222119,102.0554943118507,49739800
2015-02-02,101.43002319335938,101.4995145738088,99.36250053108398,100.87405238359494,44819100
2015-02-03,103.24563598632812,103.37594312252602,101.87307985674329,101.9252066878402,43920000
2015-02-04,102.86338806152344,103.58440835553347,102.59408493706682,102.87207034176457,28597100
2015-02-05,104.19252014160156,104.46181667495294,103.0284515447263,103.17612986122893,32337100
2015-02-06,104.07958984375,104.95698413656575,103.6799861627884,104.33151520020982,31694900
2015-02-09,103.2542953491211,104.43573489123057,103.13267715752403,103.72339692857877,32367900
2015-02-10,103.91455078125,104.1056604175206,102.59411475440103,103.83636384249209,28960800
2015-02-11,103.76685333251953,104.08827670395623,103.04583291568494,103.69736194027848,23794200
2015-02-12,104.94825744628906,105.0438155342596,104.1056124674727,104.38360445261878,27854600
2015-02-13,105.57376861572266,105.71276466419526,104.80931023221244,105.03517549713223,20446900
2015-02-17,105.90385437011719,106.03415484827741,105.33919466320891,105.68667806959051,16868500
2015-02-18,106.01681518554688,106.0255040959062,105.22629003526605,105.59983364835651,20450200
2015-02-19,106.02549743652344,106.3121651834087,105.58245582377891,105.77357207349993,16620500
2015-02-20,106.31217956542969,106.45117563046533,105.02649910233582,105.85176669846916,30331600
2015-02-23,106.41638946533203,106.44244956150462,105.34787912839235,106.068906051743,25778200
2015-02-24,106.55538940429688,106.8941839224016,106.14709687537707,106.39033328553481,20023600
2015-02-25,106.6770248413086,106.88551227973653,106.18186303273215,106.47721968486371,17059600
2015-02-26,107.06793975830078,107.11137767905808,106.26873238685751,106.58146685876073,24379000
2015-02-27,106.48590850830078,107.16349765341492,106.45984840698041,106.87682328349858,23821700
2015-03-02,107.25904083251953,107.52833734557093,106.44245575720849,106.45983357413162,29683500
2015-03-03,106.62489318847656,107.01581457400646,106.20791833047973,107.01581457400646,23068400
2015-03-04,106.29476928710938,106.51194558810009,105.64324038413724,106.164462180976,22822500
2015-03-05,106.60752868652344,106.78126711697375,105.90387942719447,106.44247253820824,19725600
2015-03-06,105.2610092163086,106.58144485343105,105.00908390886161,105.96466494665871,37319900
2015-03-09,105.721435546875,105.91255177906925,105.2175914947305,105.4347678262793,17556300
2015-03-10,104.50525665283203,104.85273349199454,104.09696407635062,104.77455319149173,32440300
2015-03-11,105.14806365966797,105.23493284211364,104.14036258575565,104.65290202926452,20914500
2015-03-12,106.89419555664062,106.98106476576669,105.75618704569298,105.82568506407216,41063300
2015-03-13,106.51197052001953,107.01582124690418,105.2957816242517,106.79864489507766,26371000
2015-03-16,107.13741302490234,107.35458932311498,106.74649171150281,106.94629682204408,19906300
