Date,Close_XLB,High_XLB,Low_XLB,Open_XLB,Volume_XLB
2015-01-02,39.19176483154297,39.36899168312168,38.95814412597662,39.13537405062241,5234800
2015-01-05,38.19283676147461,39.00647736784104,38.02366441852719,38.8936958058761,5438800
2015-01-06,37.8544807434082,38.426445963901564,37.653084279313404,38.30560685621822,5054500
2015-01-07,38.28145217895508,38.39423374226068,37.99144068870232,38.136446433828695,3560300
2015-01-08,39.19176483154297,39.296488811499955,38.571463168349766,38.66813263948971,7640500
2015-01-09,38.990379333496094,39.457617803692415,38.81314935873131,39.36900281631002,6850800
2015-01-12,38.90176010131836,39.06287796324512,38.46674279603638,38.80508754032173,4658100
2015-01-13,38.466739654541016,39.232047131391425,38.160616049187375,39.119265559173606,5855000
2015-01-14,38.0156135559082,38.07200434685777,37.41142387596204,37.79005039210994,6784300
2015-01-15,37.94312286376953,38.531203712186425,37.94312286376953,38.184801271861346,5855400
2015-01-16,38.54729080200195,38.611739160302854,37.88671049475206,37.999492048711765,5460200
2015-01-20,38.611751556396484,38.86148441538756,38.24118259639775,38.81314813114378,4061600
2015-01-21,38.990379333496094,39.03065803510592,38.434522802849436,38.531195374394564,4711600
2015-01-22,39.48177719116211,39.546225560408395,38.91786932559402,39.183711166066495,5778300
2015-01-23,38.86952590942383,39.40121256578032,38.84535931192889,39.40121256578032,5036700
2015-01-26,39.038700103759766,39.08703637412656,38.67618575867623,38.84536116842653,3101100
2015-01-27,38.77286911010742,39.05482308319438,38.32979726394171,38.49896964779388,4516400
2015-01-28,38.07200241088867,38.90175828550747,38.00755711296664,38.82925540467801,5778500
2015-01-29,38.57146453857422,38.63590983060119,37.870602396977525,38.12033520211663,5958400
2015-01-30,38.418399810791016,38.87758363965197,38.14450041523649,38.24922746817215,7808700
2015-02-02,38.76480484008789,38.86953190048587,38.20089391810987,38.45868431441272,6625500
2015-02-03,39.61872482299805,39.64289142272585,38.97425655469723,39.03064733610686,6126100
2015-02-04,39.36091232299805,39.65897813011213,39.272297416623964,39.37702440352653,5683600
2015-02-05,40.311519622802734,40.35179830363837,39.48982162687705,39.48982162687705,5864500
2015-02-06,40.21485137939453,40.39208128160565,40.10206983182989,40.32763600002586,5610100
2015-02-09,40.16653060913086,40.400151357378235,39.99735823546247,39.99735823546247,3705600
2015-02-10,40.46458435058594,40.50486303591222,40.04567926244576,40.424305665259645,3245500
2015-02-11,40.40013885498047,40.54514457984147,40.166518179030334,40.35985709680054,3223900
2015-02-12,41.09294128417969,41.21378041568927,40.6418150824197,40.6418150824197,4900600
2015-02-13,41.439353942871094,41.511856825405495,41.12517580957787,41.20573627520917,2901400
2015-02-17,41.48767852783203,41.6487963406117,41.18155499085732,41.25405785295484,3271200
2015-02-18,41.60045623779297,41.60045623779297,41.19766327952919,41.36683558446404,2974200
2015-02-19,41.7132568359375,41.80992940270465,41.310463693611126,41.49574817031313,3005700
2015-02-20,41.83408737182617,41.89853266329935,41.30240065663703,41.63269084223836,3572900
2015-02-23,41.78575897216797,41.86631944302351,41.51185951739461,41.69714399076074,2765100
2015-02-24,41.96297836303711,42.019369141895304,41.72935766601489,41.898530002589474,2306800
2015-02-25,41.84214782714844,42.06771406202822,41.76964494327058,41.93882038769732,1957600
2015-02-26,41.576297760009766,41.922700017584965,41.45545861971442,41.83408505777731,2728000
2015-02-27,41.47962188720703,41.69712738924886,41.463509799450875,41.52795507740899,3360600
2015-03-02,41.753536224365234,41.76964524483875,41.3024068244162,41.49574580077463,3282300
2015-03-03,41.52796173095703,41.74547034091429,41.39101357268784,41.60046460094278,3208300
