Date,Close_DIA,High_DIA,Low_DIA,Open_DIA,Volume_DIA
2015-01-02,142.7998809814453,143.8351225527569,142.02945925164477,143.36966121012878,4997200
2015-01-05,140.31207275390625,142.21404641706553,140.00712461338657,142.09366151687485,6700200
2015-01-06,139.1483612060547,140.87376710231123,138.2896747597076,140.52067006310273,10131400
2015-01-07,140.9138641357422,141.07436498077854,139.8304742476746,140.3200097845647,5547000
2015-01-08,143.45787048339844,143.61838360810816,142.21397948492307,142.25409552066833,7166700
2015-01-09,142.22198486328125,143.69861238564582,141.74850303471285,143.63440959179115,6646600
2015-01-12,141.435546875,142.55104459233561,140.8095848319157,142.39856446086557,4305300
2015-01-13,141.22694396972656,143.6746233682702,140.19972314762268,142.62332801482313,9913500
2015-01-14,139.6860809326172,140.2157449924492,138.36995378861468,139.18852440422458,11090600
2015-01-15,138.883544921875,140.50463216372432,138.68291573708194,140.23177941130984,9293700
2015-01-16,140.29550170898438,140.53646512057082,138.24733109436187,138.60878233969564,8721900
2015-01-20,140.4802703857422,141.05055019489293,139.06663680754968,140.74532897963664,7224100
2015-01-21,140.8417205810547,141.16299703752384,139.48430487903684,139.95819194189775,6259300
2015-01-22,142.9059295654297,143.08263527177897,140.16700337292528,141.29952296655222,9565100
2015-01-23,141.69313049316406,142.82565035453072,141.67706299172204,142.73729748046853,4795300
2015-01-26,141.76548767089844,141.93416588169472,140.86590322910178,141.49240128762713,3730400
2015-01-27,139.42813110351562,140.35985036207433,138.62492738184423,139.3558457099851,11565100
2015-01-28,137.92608642578125,140.24734372110817,137.82166606370868,140.19915347889346,9673200
2015-01-29,139.67718505859375,139.8137405378437,137.39608840548283,138.27961779869142,9615200
2015-01-30,137.70921325683594,139.71722165152852,137.56464253525516,139.11481913312073,11138500
2015-02-02,139.1710205078125,139.2995237040408,136.62486785991223,138.11078641154944,9437900
2015-02-03,141.62893676757812,141.68515466416994,139.83779560834304,139.86189074344213,7543400
2015-02-04,141.78953552246094,142.6248741592001,141.1871328012396,141.20320030546165,5935900
2015-02-05,143.41195678710938,143.4842421452722,142.23927453463517,142.39188512803014,6037800
2015-02-06,143.04258728027344,144.06265971963236,142.55263238476275,143.62893498297808,7211900
2015-02-09,142.23928833007812,142.92201612803683,141.90997199196102,142.31157369525172,3723100
