Date,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT
2015-01-02,39.93305969238281,40.49669986025541,39.74518180826074,39.84766095030489,27913900
2015-01-05,39.565834045410156,39.907432198522,39.49751246013629,39.5999915802946,39673900
2015-01-06,38.98511505126953,39.92451407944966,38.891174496900994,39.608534880189445,36447900
2015-01-07,39.480430603027344,39.676850266793366,38.84847225138925,39.26693054357484,29114100
2015-01-08,40.64187240600586,40.77851231696727,39.898893093762695,39.924512059020316,29645200
2015-01-09,40.30027389526367,40.838295008597264,40.05261627855695,40.65895572340363,23944200
2015-01-12,39.79642868041992,40.599191370200245,39.59147035034054,40.49670894740664,23651900
2015-01-13,39.59146499633789,40.91516516308747,39.33526548950789,40.1124058396192,35270600
2015-01-14,39.249855041503906,39.488977353175756,38.9594947941367,39.249855041503906,29719600
2015-01-15,38.83993148803711,39.608533026210004,38.78015173037394,39.47189311472954,32750800
2015-01-16,39.48896789550781,39.523125425206345,38.575184748842155,38.69474750491901,35695300
2015-01-20,39.6170768737793,39.83911879561402,38.91679682692127,39.54021670972157,36161900
2015-01-21,39.215694427490234,39.40357554658407,38.839935447055346,39.232774825385384,39081100
2015-01-22,40.24903869628906,40.257577266651204,39.35233895163077,39.60853841328272,35898000
2015-01-23,40.291748046875,40.47108738869181,39.967226910906234,40.44546841350475,26211600
2015-01-26,40.14655303955078,40.249035422077064,39.48897566931331,40.138014469883245,42525500
2015-01-27,36.4316520690918,36.892813005375224,35.961952563359816,36.67931293388318,169164000
2015-01-28,35.1762809753418,36.542683790324396,35.15066200169172,36.49998441498977,84507100
2015-01-29,35.87655258178711,35.970493139725285,34.83467439004774,34.954233915513505,63585300
2015-01-30,34.50162887573242,35.509349941691966,34.458926235404626,35.483727705944474,78004900
2015-02-02,35.25313186645508,35.329992024909664,34.35643218965332,34.66387282347167,50352500
2015-02-03,35.52641677856445,35.80823848572224,35.056717191054595,35.55203900687624,52082400
2015-02-04,35.731380462646484,36.04735973027872,35.321460620318724,35.81677920814061,41614800
2015-02-05,36.252323150634766,36.414582078546125,35.74846270761651,36.05590341966202,36548200
2015-02-06,36.21816635131836,36.54268750076882,35.996127622380996,36.44874691084207,34616600
2015-02-09,36.175453186035156,36.499974211818305,36.04735183808711,36.07297406232828,31381100
2015-02-10,36.38041305541992,36.52559480675061,36.021734477578356,36.49997583911986,29670700
2015-02-11,36.19253921508789,36.42311972262486,36.0473574476373,36.42311972262486,38262500
2015-02-12,36.79887771606445,36.79887771606445,36.30355591563524,36.431657279953974,33268800
2015-02-13,37.46500015258789,37.46500015258789,36.85012202214264,37.046541741649776,40264900
2015-02-17,37.4821891784668,37.843420251472395,37.146756106615086,37.81761896938234,33695700
2015-02-18,37.43918991088867,37.58540485987345,37.318779529922864,37.525199669390545,27111700
2015-02-19,37.41337966918945,37.43918095009626,37.026344050907184,37.13815506973007,27603400
2015-02-20,37.72301483154297,37.74021678216671,37.232770722044386,37.42198561703236,29721100
