Date,Close_XLE,High_XLE,Low_XLE,Open_XLE,Volume_XLE
2015-01-02,51.86836624145508,52.03793604193989,51.118351137242016,51.346620281496286,27749100
2015-01-05,49.722686767578125,51.1640180282403,49.46833448486051,51.14445323353695,45395200
2015-01-06,48.99224090576172,50.04226133809399,48.64657795705545,49.63790400566347,41876600
2015-01-07,49.096588134765625,49.800950594169215,48.77049495642548,49.585727902275835,31192400
2015-01-08,50.19878387451172,50.31617761588579,49.292245251151314,49.494421426267294,28186900
2015-01-09,49.80094528198242,50.31617304589577,49.35093515162304,50.23138564406778,24952100
2015-01-12,48.36613082885742,49.1683170659043,48.10525535451752,49.1683170659043,28940600
2015-01-13,47.981346130371094,48.94006079226047,47.53133598888345,48.5617915421922,34051400
2015-01-14,48.13135528564453,48.20309618319917,46.76175995108275,47.524821772728814,52152500
2015-01-15,47.518306732177734,48.822679675743885,47.479177136122885,48.698762653852974,41346000
2015-01-16,49.06398010253906,49.12919774079016,47.759607434369634,47.798737022162925,42741900
2015-01-20,49.1226692199707,49.148757267632774,48.21613071080561,48.80961762381218,28085800
2015-01-21,50.120513916015625,50.133560427872034,49.1226697178136,49.481374157069524,28330800
2015-01-22,50.35530471801758,50.51182804019203,49.435724602482644,50.44008714757318,33018800
2015-01-23,49.996604919433594,50.714008865368896,49.91834077094028,50.12704019113577,21147400
2015-01-26,50.714012145996094,50.84444742613597,49.722686104099886,50.16617302267725,18362100
2015-01-27,50.68140411376953,50.92271487099068,50.19226431794984,50.31618132514277,21602300
2015-01-28,48.68571472167969,50.54444492706595,48.58788576859888,50.54444492706595,38833400
2015-01-29,48.848751068115234,49.14223288998809,47.7465547145379,49.07701526021481,30123700
2015-01-30,49.272674560546875,49.83355514934969,48.157431663058105,48.48352479720921,43848100
2015-02-02,50.779232025146484,50.798796820451464,49.5400769060299,49.879216610606925,35465700
2015-02-03,52.16838455200195,52.43578334289927,51.34663333658156,51.36619813088391,47027900
2015-02-04,51.30751419067383,51.78361255684736,50.87707365930907,51.490125626755145,41132200
2015-02-05,52.044471740722656,52.33795360238389,51.600984832038584,51.91403148770564,31786200
